Date,AdjustedClose,Return
01/05/23,126.94,-0.34
01/04/23,127.37,2.11
01/03/23,124.74,3.66
12/30/22,120.34,0.07
12/29/22,120.26,4.01
12/28/22,115.62,-1.08
12/27/22,116.88,-0.98
12/23/22,118.04,0.79
12/22/22,117.12,-2.20
12/21/22,119.76,2.28
12/20/22,117.09,2.28
12/19/22,114.48,-4.14
12/16/22,119.43,2.82
12/15/22,116.15,-4.47
12/14/22,121.59,1.20
12/13/22,120.15,4.74
12/12/22,114.71,-1.03
12/09/22,115.90,0.49
12/08/22,115.33,1.23
12/07/22,113.93,-0.17
12/06/22,114.12,-6.79
12/05/22,122.43,-0.86
12/02/22,123.49,2.53
12/01/22,120.44,1.98
11/30/22,118.10,7.89
11/29/22,109.46,0.63
11/28/22,108.78,-2.36
11/25/22,111.41,-0.74
11/23/22,112.24,0.72
11/22/22,111.44,1.44
11/21/22,109.86,-1.95
11/18/22,112.05,0.54
11/17/22,111.45,-1.57
11/16/22,113.23,-3.29
11/15/22,117.08,2.50
11/14/22,114.22,1.06
11/11/22,113.02,1.03
11/10/22,111.87,10.25
11/09/22,101.47,5.18
11/08/22,96.47,-0.26
11/07/22,96.72,6.53
11/04/22,90.79,2.11
11/03/22,88.91,-1.80
11/02/22,90.54,-4.89
11/01/22,95.20,2.19
10/31/22,93.16,-6.09
10/28/22,99.20,1.29
10/27/22,97.94,-24.56
10/26/22,129.82,-5.59
10/25/22,137.51,6.01
10/24/22,129.72,-0.22
10/21/22,130.01,-1.16
10/20/22,131.53,-1.28
10/19/22,133.23,0.32
10/18/22,132.80,-0.93
10/17/22,134.04,5.74
10/14/22,126.76,-2.71
10/13/22,130.29,2.19
10/12/22,127.50,-0.81
10/11/22,128.54,-3.92
10/10/22,133.79,0.25
10/07/22,133.45,-4.04
10/06/22,139.07,0.06
10/05/22,138.98,-0.93
10/04/22,140.28,1.20
10/03/22,138.61,2.16
09/30/22,135.68,-0.54
09/29/22,136.41,-3.67
09/28/22,141.61,5.36
09/27/22,134.40,-1.44
09/26/22,136.37,-2.88
09/23/22,140.41,-1.69
09/22/22,142.82,0.49
09/21/22,142.12,-2.72
09/20/22,146.09,-1.30
09/19/22,148.02,1.18
09/16/22,146.29,-2.18
09/15/22,149.55,-1.27
09/14/22,151.47,-1.08
09/13/22,153.13,-9.37
09/12/22,168.96,-0.11
09/09/22,169.15,4.37
09/08/22,162.06,1.04
09/07/22,160.39,1.17
09/06/22,158.54,-1.11
09/02/22,160.32,-3.05
09/01/22,165.36,1.49
08/31/22,162.93,3.67
08/30/22,157.16,-1.26
08/29/22,159.17,-1.61
08/26/22,161.78,-4.15
08/25/22,168.78,3.38
08/24/22,163.26,1.33
08/23/22,161.11,-1.19
08/22/22,163.05,-2.92
08/19/22,167.96,-3.84
08/18/22,174.66,-0.11
08/17/22,174.85,-2.57
08/16/22,179.47,-0.79
08/15/22,180.89,0.22
08/12/22,180.50,1.70
08/11/22,177.49,-0.48
08/10/22,178.34,5.82
